Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric
P0600,Highway Expansion,Bridge,Low,4599865,58,91,85,4.53,0.64,539,Borderline,1
P0601,Smart Solar Grid,Water Infra,Low,5199790,76,56,89,5.13,0.62,533,Feasible,1
P0602,Dam Reinforcement,Power Plant,Low,6382287,83,57,91,7.13,0.62,474,Feasible,1
P0603,Smart Solar Grid,Power Plant,High,6067636,93,93,44,2.74,0.6,576,Borderline,3
P0604,Industrial Complex,Power Plant,High,2039458,53,88,63,1.22,0.79,329,Feasible,3
P0605,Dam Reinforcement,Power Plant,Medium,4772811,85,87,79,5.56,0.66,138,Feasible,2
P0606,Dam Reinforcement,Power Plant,Low,3317336,67,31,66,3.27,0.91,315,Feasible,1
P0607,Urban Flyover,Bridge,Low,5160435,64,65,59,4.42,0.59,445,Not Feasible,1
P0608,Dam Reinforcement,Water Infra,Medium,3763642,62,42,26,6.47,0.73,234,Feasible,2
P0609,Industrial Complex,Bridge,Low,2809891,68,44,65,4.94,0.51,536,Feasible,1
P0610,Dam Reinforcement,Water Infra,Low,4788340,98,89,42,6.2,0.74,471,Borderline,1
P0611,Smart Solar Grid,Power Plant,Low,3419862,55,51,65,5.44,0.53,583,Not Feasible,1
P0612,Dam Reinforcement,Power Plant,Low,1197775,97,92,32,7.4,0.99,194,Feasible,1
P0613,Smart Solar Grid,Road,Low,3386488,61,54,40,7.06,0.9,269,Feasible,1
P0614,Highway Expansion,Building,High,1787494,86,77,20,5.34,0.75,155,Feasible,3
P0615,Highway Expansion,Building,High,6851244,66,72,38,6.79,0.54,361,Borderline,3
P0616,Urban Flyover,Bridge,High,6332660,72,67,79,8.74,0.8,270,Not Feasible,3
P0617,Dam Reinforcement,Bridge,Medium,2201193,75,70,52,4.32,0.88,182,Feasible,2
P0618,Highway Expansion,Water Infra,Medium,4943334,78,74,23,4.13,0.6,273,Not Feasible,2
P0619,Highway Expansion,Road,High,4009758,82,69,22,7.64,0.78,307,Not Feasible,3
P0620,Urban Flyover,Water Infra,Medium,6083769,76,46,71,5.83,0.91,342,Feasible,2
P0621,Urban Flyover,Road,High,1533636,74,86,47,0.71,0.88,212,Feasible,3
P0622,Dam Reinforcement,Building,Low,4038370,59,31,89,8.92,0.9,124,Not Feasible,1
P0623,Smart Solar Grid,Building,Low,5232406,96,91,89,0.31,0.94,557,Borderline,1
P0624,Dam Reinforcement,Road,Low,5268764,72,38,74,7.48,0.97,285,Feasible,1
P0625,Smart Solar Grid,Water Infra,High,6607658,70,97,76,7.59,0.7,565,Feasible,3
P0626,Urban Flyover,Bridge,Medium,4235658,70,46,35,9.53,0.78,144,Borderline,2
P0627,Industrial Complex,Road,High,2776203,92,79,43,0.54,0.9,217,Not Feasible,3
P0628,Dam Reinforcement,Road,Medium,3276360,62,69,88,5.97,0.85,387,Feasible,2
P0629,Industrial Complex,Road,Medium,5408249,86,87,60,4.28,1.0,269,Feasible,2
P0630,Smart Solar Grid,Water Infra,Low,5426219,82,50,96,3.31,0.51,512,Not Feasible,1
P0631,Dam Reinforcement,Bridge,Low,3534629,73,47,66,0.9,0.68,371,Feasible,1
P0632,Industrial Complex,Water Infra,High,1525830,93,84,95,5.63,0.64,203,Not Feasible,3
P0633,Industrial Complex,Power Plant,High,2332397,60,58,88,4.79,0.63,404,Not Feasible,3
P0634,Dam Reinforcement,Power Plant,Low,3136233,66,53,50,1.05,0.61,291,Feasible,1
P0635,Industrial Complex,Road,High,1718216,53,46,49,6.12,0.85,340,Feasible,3
P0636,Dam Reinforcement,Road,Low,6462810,96,47,37,7.38,0.54,228,Not Feasible,1
P0637,Industrial Complex,Road,High,5999801,74,71,63,7.67,0.87,146,Feasible,3
P0638,Urban Flyover,Bridge,Medium,1517313,79,74,46,9.05,0.85,365,Feasible,2
P0639,Dam Reinforcement,Bridge,High,6457412,58,46,45,4.09,0.63,174,Borderline,3
P0640,Urban Flyover,Road,Low,4665060,70,43,79,9.53,0.63,584,Feasible,1
P0641,Highway Expansion,Bridge,High,4462565,69,78,37,8.65,0.81,252,Not Feasible,3
P0642,Urban Flyover,Building,Medium,2337682,68,58,75,2.97,0.88,171,Feasible,2
P0643,Industrial Complex,Road,Medium,6271175,68,33,50,1.59,0.94,372,Feasible,2
P0644,Smart Solar Grid,Building,Medium,6256687,61,49,78,4.35,0.93,388,Feasible,2
P0645,Urban Flyover,Water Infra,Low,2286643,86,76,21,4.02,0.98,417,Not Feasible,1
P0646,Urban Flyover,Building,High,2533584,91,38,58,5.76,0.79,518,Feasible,3
P0647,Urban Flyover,Water Infra,Low,1394540,66,56,80,5.83,0.95,198,Borderline,1
P0648,Smart Solar Grid,Water Infra,Low,3615075,86,44,82,7.5,0.9,137,Feasible,1
P0649,Smart Solar Grid,Road,Low,6409861,97,48,37,5.1,0.95,425,Not Feasible,1
P0650,Urban Flyover,Road,High,5939003,88,81,36,1.05,0.51,377,Not Feasible,3
P0651,Highway Expansion,Water Infra,Low,6146386,77,55,58,8.58,0.98,462,Borderline,1
P0652,Smart Solar Grid,Bridge,High,5442987,90,55,90,3.1,0.74,226,Feasible,3
P0653,Smart Solar Grid,Power Plant,Medium,1026790,84,55,73,9.71,0.9,516,Feasible,2
P0654,Smart Solar Grid,Building,High,2691738,96,75,95,1.18,0.56,571,Feasible,3
P0655,Dam Reinforcement,Water Infra,High,3908873,97,78,54,9.58,0.7,166,Feasible,3
P0656,Urban Flyover,Power Plant,Low,1448345,67,82,30,0.91,0.64,365,Feasible,1
P0657,Highway Expansion,Road,Medium,1749074,63,32,80,2.31,0.65,208,Feasible,2
P0658,Smart Solar Grid,Road,High,4685501,84,95,63,0.47,0.56,322,Feasible,3
P0659,Dam Reinforcement,Water Infra,High,2879490,93,71,87,7.05,0.9,553,Not Feasible,3
P0660,Industrial Complex,Bridge,Low,4887857,90,48,44,8.5,0.5,359,Feasible,1
P0661,Industrial Complex,Water Infra,Medium,5984445,56,46,67,4.34,0.66,387,Feasible,2
P0662,Smart Solar Grid,Building,Low,4176083,90,62,51,9.29,0.59,132,Not Feasible,1
P0663,Highway Expansion,Power Plant,Low,2454908,62,78,23,5.9,0.79,256,Feasible,1
P0664,Highway Expansion,Bridge,Low,3253694,67,85,57,6.3,0.63,434,Feasible,1
P0665,Urban Flyover,Water Infra,Low,4319144,86,92,82,8.45,0.63,292,Borderline,1
P0666,Smart Solar Grid,Building,High,1305062,62,32,66,2.97,0.74,349,Feasible,3
P0667,Industrial Complex,Building,Medium,6806466,85,78,20,3.54,0.83,317,Feasible,2
P0668,Urban Flyover,Bridge,Medium,6744588,80,84,22,9.06,0.56,362,Feasible,2
P0669,Highway Expansion,Building,Low,6060955,51,55,81,9.01,0.59,162,Not Feasible,1
P0670,Urban Flyover,Building,Low,6304509,65,81,83,9.76,0.62,449,Borderline,1
P0671,Industrial Complex,Building,High,5949499,58,36,36,9.02,0.99,398,Not Feasible,3
P0672,Highway Expansion,Building,Low,3387312,58,75,97,1.27,0.7,198,Borderline,1
P0673,Dam Reinforcement,Water Infra,Low,4693976,87,75,81,8.24,0.8,548,Feasible,1
P0674,Dam Reinforcement,Bridge,High,5408224,60,45,54,4.1,0.62,398,Feasible,3
P0675,Smart Solar Grid,Power Plant,Medium,5035493,71,53,32,9.91,0.75,351,Feasible,2
P0676,Urban Flyover,Power Plant,Medium,4388532,82,90,54,4.72,0.54,220,Feasible,2
P0677,Highway Expansion,Building,Low,2425541,85,83,62,5.54,0.52,281,Borderline,1
P0678,Smart Solar Grid,Water Infra,Medium,6703737,94,91,21,5.3,0.73,263,Borderline,2
P0679,Urban Flyover,Building,Medium,2871403,72,30,75,3.22,0.7,566,Not Feasible,2
P0680,Industrial Complex,Building,Medium,6747372,94,78,96,0.75,0.57,228,Borderline,2
P0681,Highway Expansion,Water Infra,High,5848287,94,54,70,8.96,0.84,554,Not Feasible,3
P0682,Urban Flyover,Road,Medium,6658796,83,39,73,8.03,1.0,352,Feasible,2
P0683,Highway Expansion,Bridge,Low,1821052,58,45,35,1.4,0.7,230,Feasible,1
P0684,Urban Flyover,Power Plant,Low,2807150,73,87,37,7.77,0.81,535,Feasible,1
P0685,Industrial Complex,Water Infra,High,3225300,57,58,26,6.26,0.98,541,Feasible,3
P0686,Highway Expansion,Power Plant,Low,2855567,56,35,64,4.09,0.92,351,Feasible,1
P0687,Dam Reinforcement,Water Infra,High,2534837,85,45,55,2.54,0.73,559,Feasible,3
P0688,Industrial Complex,Water Infra,Low,4501268,67,49,60,8.6,0.87,357,Not Feasible,1
P0689,Urban Flyover,Road,Low,4338442,52,72,61,7.0,0.56,316,Not Feasible,1
P0690,Highway Expansion,Building,Low,5926203,77,55,26,5.48,0.76,392,Borderline,1
P0691,Industrial Complex,Bridge,Medium,5454051,55,62,34,6.1,0.64,205,Feasible,2
P0692,Urban Flyover,Road,High,5809954,93,55,79,0.91,0.58,414,Not Feasible,3
P0693,Dam Reinforcement,Power Plant,Low,1423570,93,74,59,4.74,0.71,160,Borderline,1
P0694,Dam Reinforcement,Bridge,Low,3373139,70,92,56,1.94,0.57,167,Feasible,1
P0695,Urban Flyover,Building,Low,6221816,77,96,85,2.08,0.85,585,Not Feasible,1
P0696,Dam Reinforcement,Road,High,1858158,89,81,74,6.61,0.73,531,Not Feasible,3
P0697,Industrial Complex,Water Infra,Medium,3114792,50,97,96,9.11,0.77,196,Feasible,2
P0698,Dam Reinforcement,Power Plant,High,1052528,85,55,99,4.04,0.57,297,Not Feasible,3
P0699,Smart Solar Grid,Road,High,2873421,70,31,75,2.08,0.57,376,Not Feasible,3
P0700,Dam Reinforcement,Road,Medium,3598260,92,43,63,6.49,0.79,236,Feasible,2
P0701,Smart Solar Grid,Bridge,Medium,2417077,84,59,76,8.71,0.99,553,Feasible,2
P0702,Highway Expansion,Power Plant,Low,6967106,62,78,25,7.48,0.55,138,Feasible,1
P0703,Industrial Complex,Power Plant,High,4295887,98,41,51,8.69,0.64,178,Borderline,3
P0704,Highway Expansion,Power Plant,High,4318230,59,73,93,5.37,0.93,315,Borderline,3
P0705,Highway Expansion,Bridge,Medium,3252728,93,62,37,7.52,0.54,226,Not Feasible,2
P0706,Dam Reinforcement,Power Plant,Low,6118922,96,42,87,1.4,0.94,570,Feasible,1
P0707,Dam Reinforcement,Bridge,Low,6122783,59,55,92,3.48,0.76,544,Feasible,1
P0708,Dam Reinforcement,Water Infra,Medium,6253903,95,50,26,3.9,0.7,513,Feasible,2
P0709,Highway Expansion,Bridge,Low,3485195,62,57,27,5.11,0.65,403,Not Feasible,1
P0710,Industrial Complex,Building,Low,6528983,86,77,83,9.29,0.65,153,Feasible,1
P0711,Industrial Complex,Power Plant,Low,5260507,87,69,26,8.74,0.65,414,Feasible,1
P0712,Smart Solar Grid,Building,High,1160775,73,95,60,1.35,0.94,370,Not Feasible,3
P0713,Urban Flyover,Building,Medium,3667867,51,52,59,1.73,0.86,245,Feasible,2
P0714,Industrial Complex,Water Infra,Low,2563299,71,77,22,3.58,0.83,458,Not Feasible,1
P0715,Dam Reinforcement,Road,Medium,4469401,66,31,36,2.91,0.9,225,Feasible,2
P0716,Smart Solar Grid,Water Infra,Low,4775803,85,49,85,6.15,0.63,559,Feasible,1
P0717,Dam Reinforcement,Bridge,Low,2344027,63,88,98,9.03,0.81,299,Borderline,1
P0718,Highway Expansion,Bridge,Medium,5166500,59,75,71,9.62,0.73,229,Borderline,2
P0719,Highway Expansion,Power Plant,High,1791267,84,32,41,6.54,0.89,347,Borderline,3
P0720,Dam Reinforcement,Building,Medium,1497562,74,84,23,8.38,0.65,240,Borderline,2
P0721,Industrial Complex,Water Infra,Low,4848693,52,41,25,5.25,0.82,226,Borderline,1
P0722,Urban Flyover,Road,Medium,5578238,96,69,57,2.08,0.94,250,Not Feasible,2
P0723,Dam Reinforcement,Water Infra,Low,5037776,87,95,45,5.25,0.7,142,Feasible,1
P0724,Industrial Complex,Power Plant,Low,3004168,66,45,30,5.55,0.53,264,Feasible,1
P0725,Smart Solar Grid,Water Infra,High,5010912,61,63,36,7.42,0.76,446,Feasible,3
P0726,Dam Reinforcement,Road,Medium,5511732,73,73,50,2.2,0.67,273,Feasible,2
P0727,Smart Solar Grid,Road,Low,6562067,78,35,96,3.68,0.84,226,Feasible,1
P0728,Industrial Complex,Building,Medium,6237196,92,93,54,3.64,0.98,265,Borderline,2
P0729,Industrial Complex,Building,Medium,5885211,74,51,35,9.59,0.74,371,Feasible,2
P0730,Industrial Complex,Power Plant,Low,3179996,85,47,98,4.44,0.73,421,Feasible,1
P0731,Industrial Complex,Building,Medium,2600396,75,41,37,7.55,0.83,189,Not Feasible,2
P0732,Highway Expansion,Bridge,High,4311149,87,81,81,7.51,0.55,150,Feasible,3
P0733,Industrial Complex,Building,Low,1122402,50,80,46,2.66,0.63,212,Not Feasible,1
P0734,Highway Expansion,Bridge,High,2166588,69,77,54,5.72,0.96,256,Feasible,3
P0735,Urban Flyover,Water Infra,Medium,5632965,77,48,64,8.94,0.83,493,Borderline,2
P0736,Highway Expansion,Bridge,Medium,3496081,65,35,54,4.75,0.51,282,Feasible,2
P0737,Smart Solar Grid,Power Plant,Low,3677618,96,56,47,9.45,0.6,200,Feasible,1
P0738,Urban Flyover,Road,Medium,5767999,66,82,28,2.14,0.84,435,Feasible,2
P0739,Smart Solar Grid,Power Plant,Low,5657860,89,77,95,0.74,0.88,195,Not Feasible,1
P0740,Dam Reinforcement,Power Plant,Low,1575278,77,36,34,8.91,0.92,182,Feasible,1
P0741,Dam Reinforcement,Power Plant,High,6187480,61,88,40,8.48,0.65,219,Feasible,3
P0742,Highway Expansion,Power Plant,High,2178049,76,98,71,9.93,0.97,555,Not Feasible,3
P0743,Smart Solar Grid,Building,Low,4080201,91,40,54,6.79,0.78,167,Not Feasible,1
P0744,Dam Reinforcement,Water Infra,Medium,5672311,96,44,70,9.37,0.85,564,Feasible,2
P0745,Dam Reinforcement,Road,Low,4562737,79,93,74,8.27,0.8,527,Feasible,1
P0746,Dam Reinforcement,Bridge,Low,4464442,90,32,96,8.44,0.56,193,Not Feasible,1
P0747,Urban Flyover,Bridge,Medium,2274732,83,98,63,5.69,0.98,433,Feasible,2
P0748,Urban Flyover,Water Infra,Medium,4314692,86,52,84,3.82,0.56,311,Borderline,2
P0749,Industrial Complex,Power Plant,Medium,5193398,55,82,99,9.35,0.63,149,Borderline,2
P0750,Smart Solar Grid,Power Plant,Low,5719607,56,66,44,4.32,0.91,276,Not Feasible,1
P0751,Dam Reinforcement,Road,Medium,2110389,81,38,66,5.39,0.81,385,Feasible,2
P0752,Smart Solar Grid,Bridge,Low,1027712,81,44,99,4.46,0.92,375,Feasible,1
P0753,Industrial Complex,Power Plant,Medium,5071647,74,32,75,5.65,0.76,158,Feasible,2
P0754,Highway Expansion,Building,High,4912942,82,99,57,4.71,0.69,174,Borderline,3
P0755,Industrial Complex,Road,Low,1112816,56,46,30,0.48,0.96,147,Feasible,1
P0756,Dam Reinforcement,Building,High,2635156,61,55,86,8.82,0.52,521,Feasible,3
P0757,Highway Expansion,Building,High,1135230,65,50,34,4.44,0.93,544,Feasible,3
P0758,Highway Expansion,Water Infra,Low,2766616,65,50,20,5.89,0.62,237,Not Feasible,1
P0759,Industrial Complex,Water Infra,High,6001045,92,40,26,1.39,0.92,489,Feasible,3
P0760,Dam Reinforcement,Building,High,5463418,85,67,20,0.03,0.57,328,Not Feasible,3
P0761,Highway Expansion,Water Infra,Low,2383194,62,64,68,2.45,0.79,194,Borderline,1
P0762,Industrial Complex,Building,Low,4101360,56,43,92,7.05,0.94,184,Borderline,1
P0763,Industrial Complex,Power Plant,Medium,2881548,85,43,48,0.99,0.74,456,Not Feasible,2
P0764,Dam Reinforcement,Water Infra,High,5345760,96,39,45,9.09,0.87,475,Not Feasible,3
P0765,Industrial Complex,Building,Medium,4251298,58,41,64,2.15,0.9,219,Not Feasible,2
P0766,Industrial Complex,Road,Low,5465150,81,67,90,2.05,0.87,165,Feasible,1
P0767,Industrial Complex,Road,High,1000404,60,63,31,1.82,0.96,435,Not Feasible,3
P0768,Smart Solar Grid,Water Infra,Medium,5897590,57,70,51,0.14,0.72,512,Not Feasible,2
P0769,Urban Flyover,Road,Medium,2323483,82,39,39,7.72,0.59,548,Feasible,2
P0770,Smart Solar Grid,Bridge,Medium,2722320,72,46,70,8.75,0.52,563,Not Feasible,2
P0771,Industrial Complex,Bridge,Low,5909764,74,46,55,6.14,0.62,275,Feasible,1
P0772,Urban Flyover,Road,High,3332517,57,96,86,1.88,0.57,359,Borderline,3
P0773,Highway Expansion,Building,Medium,5537090,94,91,20,2.85,0.78,472,Not Feasible,2
P0774,Smart Solar Grid,Road,High,4196340,71,30,46,4.76,0.59,378,Feasible,3
P0775,Smart Solar Grid,Road,Low,6004310,53,41,59,9.54,0.52,554,Feasible,1
P0776,Smart Solar Grid,Road,Low,6247689,89,33,33,2.47,0.52,255,Feasible,1
P0777,Dam Reinforcement,Building,Medium,1163273,52,71,88,7.32,0.92,489,Feasible,2
P0778,Industrial Complex,Building,Medium,4854418,78,42,98,4.39,0.8,317,Not Feasible,2
P0779,Highway Expansion,Bridge,High,6387408,90,33,25,2.98,0.68,306,Borderline,3
P0780,Highway Expansion,Water Infra,Low,4652692,78,98,52,4.56,0.95,235,Not Feasible,1
P0781,Highway Expansion,Bridge,High,6692493,83,48,74,0.71,0.54,564,Feasible,3
P0782,Industrial Complex,Building,Low,2087341,83,31,38,7.99,0.99,177,Feasible,1
P0783,Urban Flyover,Building,High,4977266,77,41,96,2.43,0.81,189,Borderline,3
P0784,Smart Solar Grid,Building,Low,6558956,62,35,48,7.25,0.59,212,Borderline,1
P0785,Industrial Complex,Building,Medium,4031756,64,37,80,0.68,0.84,348,Feasible,2
P0786,Smart Solar Grid,Building,Low,1843523,72,80,89,9.55,0.88,515,Feasible,1
P0787,Industrial Complex,Building,Low,1546237,93,40,98,1.93,0.71,256,Feasible,1
P0788,Smart Solar Grid,Power Plant,Medium,6444032,75,92,99,8.83,0.93,224,Feasible,2
P0789,Industrial Complex,Power Plant,High,5895207,53,86,43,8.09,0.58,424,Not Feasible,3
P0790,Urban Flyover,Road,High,5040479,75,41,42,9.68,0.64,458,Borderline,3
P0791,Highway Expansion,Power Plant,Low,1092193,89,31,29,4.78,0.55,136,Feasible,1
P0792,Smart Solar Grid,Bridge,Medium,4181915,58,37,73,7.27,0.61,173,Feasible,2
P0793,Industrial Complex,Road,High,5700254,54,40,60,3.71,0.62,231,Not Feasible,3
P0794,Urban Flyover,Water Infra,Medium,2186887,81,82,68,1.84,0.96,291,Not Feasible,2
P0795,Urban Flyover,Building,Medium,4008038,69,39,36,4.43,0.54,535,Feasible,2
P0796,Highway Expansion,Power Plant,High,1508153,99,37,75,1.66,0.71,538,Not Feasible,3
P0797,Industrial Complex,Bridge,Low,4334817,60,65,64,9.82,0.77,581,Feasible,1
P0798,Smart Solar Grid,Water Infra,Medium,4582069,64,43,49,0.96,0.95,424,Feasible,2
P0799,Dam Reinforcement,Building,Medium,6554946,81,83,63,5.89,1.0,557,Feasible,2
P0800,Urban Flyover,Building,Low,3715514,77,50,93,6.26,0.88,263,Feasible,1
P0801,Urban Flyover,Water Infra,Low,5881713,71,79,74,5.38,0.99,204,Feasible,1
P0802,Highway Expansion,Water Infra,High,3658571,90,68,38,6.62,0.89,131,Borderline,3
P0803,Industrial Complex,Water Infra,Low,5834357,66,49,48,1.16,0.98,371,Not Feasible,1
P0804,Dam Reinforcement,Bridge,High,6054699,75,36,21,5.55,0.85,335,Feasible,3
P0805,Dam Reinforcement,Road,High,2679748,93,38,55,2.87,0.54,245,Feasible,3
P0806,Dam Reinforcement,Road,Medium,3223069,56,30,38,9.4,0.7,217,Not Feasible,2
P0807,Industrial Complex,Power Plant,Low,4445498,91,55,26,7.62,0.82,511,Feasible,1
P0808,Smart Solar Grid,Building,Low,5892472,75,67,45,9.73,0.68,524,Not Feasible,1
P0809,Urban Flyover,Power Plant,Medium,1481680,74,67,98,0.38,0.64,423,Not Feasible,2
P0810,Industrial Complex,Road,Medium,6165679,59,90,57,2.85,0.79,511,Not Feasible,2
P0811,Dam Reinforcement,Water Infra,Low,3636694,94,73,22,1.95,0.97,147,Feasible,1
P0812,Urban Flyover,Building,High,6287118,68,73,99,0.11,0.52,455,Feasible,3
P0813,Urban Flyover,Road,Low,6020500,60,91,85,2.42,0.88,385,Borderline,1
P0814,Dam Reinforcement,Building,Low,3961293,62,35,90,6.79,0.86,171,Feasible,1
P0815,Dam Reinforcement,Power Plant,Medium,5100673,57,46,62,2.31,0.98,262,Borderline,2
P0816,Urban Flyover,Road,High,2534026,89,80,81,5.09,0.97,251,Not Feasible,3
P0817,Highway Expansion,Power Plant,Medium,1315826,53,67,90,8.88,0.88,465,Feasible,2
P0818,Urban Flyover,Building,Low,4467366,96,53,43,6.94,0.76,326,Not Feasible,1
P0819,Smart Solar Grid,Bridge,High,1327359,80,80,58,3.95,0.6,599,Feasible,3
P0820,Smart Solar Grid,Water Infra,Medium,4748603,77,39,87,3.72,0.77,181,Not Feasible,2
P0821,Highway Expansion,Power Plant,High,5201253,60,50,63,4.56,0.88,482,Feasible,3
P0822,Industrial Complex,Building,High,3860337,92,99,24,1.77,0.95,251,Borderline,3
P0823,Urban Flyover,Road,High,1317537,50,86,74,6.34,0.89,160,Feasible,3
P0824,Smart Solar Grid,Power Plant,Low,1550222,98,68,49,3.64,0.6,320,Not Feasible,1
P0825,Urban Flyover,Building,Medium,5975026,96,62,48,8.52,0.8,218,Feasible,2
P0826,Highway Expansion,Bridge,Medium,3573619,87,88,45,7.57,0.67,430,Not Feasible,2
P0827,Dam Reinforcement,Power Plant,Low,3453752,73,47,45,6.11,0.5,403,Not Feasible,1
P0828,Highway Expansion,Building,High,2364133,96,85,56,3.64,0.6,476,Not Feasible,3
P0829,Highway Expansion,Power Plant,Medium,2932247,80,86,72,2.1,0.56,166,Feasible,2
P0830,Highway Expansion,Building,Low,2353038,90,77,49,7.76,0.92,256,Borderline,1
P0831,Smart Solar Grid,Water Infra,Medium,1250875,95,71,22,4.86,0.63,249,Feasible,2
P0832,Highway Expansion,Building,High,5657693,99,56,62,2.25,0.64,314,Feasible,3
P0833,Dam Reinforcement,Building,Medium,5264694,75,81,26,1.95,0.98,236,Feasible,2
P0834,Dam Reinforcement,Building,High,1707689,98,71,68,1.65,0.69,483,Borderline,3
P0835,Dam Reinforcement,Road,High,5447794,99,61,92,7.77,0.5,551,Not Feasible,3
P0836,Industrial Complex,Building,Low,2615952,54,55,60,2.29,0.64,188,Not Feasible,1
P0837,Highway Expansion,Water Infra,High,2296516,69,54,96,5.27,0.56,577,Borderline,3
P0838,Dam Reinforcement,Bridge,Low,3530179,90,52,98,4.52,0.55,147,Feasible,1
P0839,Industrial Complex,Water Infra,Medium,2556617,60,86,73,5.8,0.54,454,Feasible,2
P0840,Highway Expansion,Bridge,High,4463351,82,81,88,8.77,0.8,133,Not Feasible,3
P0841,Highway Expansion,Road,Medium,2265040,99,60,46,8.68,0.59,165,Borderline,2
P0842,Urban Flyover,Road,High,6753616,87,93,27,4.51,0.68,590,Not Feasible,3
P0843,Highway Expansion,Road,Low,2854971,76,62,51,0.15,0.93,516,Feasible,1
P0844,Urban Flyover,Bridge,Medium,1650199,83,31,83,4.26,0.71,135,Feasible,2
P0845,Smart Solar Grid,Water Infra,Medium,5034628,64,47,29,6.06,0.96,597,Feasible,2
P0846,Smart Solar Grid,Power Plant,Medium,2849396,81,76,32,5.58,0.75,543,Not Feasible,2
P0847,Industrial Complex,Road,High,3691276,70,62,82,6.51,0.7,575,Feasible,3
P0848,Urban Flyover,Bridge,High,1628861,95,64,54,1.54,0.88,328,Borderline,3
P0849,Smart Solar Grid,Water Infra,High,3526954,54,80,80,6.47,0.54,277,Feasible,3
P0850,Smart Solar Grid,Road,High,1661614,55,47,73,1.83,0.54,456,Feasible,3
P0851,Smart Solar Grid,Building,Low,5873878,87,59,27,7.51,0.83,346,Not Feasible,1
P0852,Highway Expansion,Water Infra,High,5693174,71,73,48,3.39,0.74,568,Feasible,3
P0853,Urban Flyover,Bridge,Low,4357519,67,82,60,7.1,0.9,360,Not Feasible,1
P0854,Smart Solar Grid,Power Plant,High,1666997,63,39,49,0.48,0.96,177,Not Feasible,3
P0855,Urban Flyover,Power Plant,Medium,2726351,59,81,40,4.08,0.69,591,Not Feasible,2
P0856,Dam Reinforcement,Power Plant,High,2072647,95,78,95,7.05,0.8,423,Feasible,3
P0857,Dam Reinforcement,Building,Low,2631107,62,40,30,2.27,0.75,424,Feasible,1
P0858,Highway Expansion,Water Infra,High,2028455,80,95,21,7.95,0.99,464,Feasible,3
P0859,Dam Reinforcement,Road,High,6106563,79,87,69,6.31,0.92,249,Not Feasible,3
P0860,Industrial Complex,Water Infra,Medium,2305794,52,65,60,5.88,0.96,336,Feasible,2
P0861,Urban Flyover,Power Plant,Low,6457759,79,62,85,3.54,0.63,133,Feasible,1
P0862,Smart Solar Grid,Building,Low,6606594,55,76,22,4.82,0.89,478,Feasible,1
P0863,Industrial Complex,Power Plant,Medium,2950367,78,42,99,5.97,0.63,496,Not Feasible,2
P0864,Industrial Complex,Bridge,Medium,2910705,57,69,70,4.72,0.6,362,Not Feasible,2
P0865,Dam Reinforcement,Water Infra,Medium,2601596,93,97,87,6.98,0.97,264,Feasible,2
P0866,Urban Flyover,Building,High,4791481,94,71,44,4.34,0.51,498,Not Feasible,3
P0867,Smart Solar Grid,Power Plant,Low,6123122,92,48,49,2.02,0.98,534,Feasible,1
P0868,Industrial Complex,Building,Medium,5150276,93,48,30,2.14,0.57,513,Not Feasible,2
P0869,Highway Expansion,Bridge,Medium,6723601,82,87,36,0.06,0.91,445,Borderline,2
P0870,Smart Solar Grid,Bridge,Low,6354075,66,52,45,3.01,0.64,222,Feasible,1
P0871,Dam Reinforcement,Water Infra,High,6279548,97,83,42,7.49,0.68,336,Borderline,3
P0872,Urban Flyover,Building,High,3382357,60,94,75,7.94,0.61,477,Feasible,3
P0873,Highway Expansion,Power Plant,High,4487124,62,41,71,2.02,0.79,540,Not Feasible,3
P0874,Smart Solar Grid,Power Plant,Low,6241476,99,53,67,9.59,0.67,183,Borderline,1
P0875,Smart Solar Grid,Road,High,3245131,60,63,39,5.02,0.83,277,Feasible,3
P0876,Industrial Complex,Power Plant,High,6392729,80,82,21,9.17,0.51,281,Borderline,3
P0877,Smart Solar Grid,Water Infra,Low,5246049,77,37,50,7.07,0.53,137,Feasible,1
P0878,Urban Flyover,Bridge,Low,1091865,93,47,46,7.22,0.55,335,Feasible,1
P0879,Urban Flyover,Power Plant,Medium,5044588,55,86,21,0.85,0.71,438,Borderline,2
P0880,Smart Solar Grid,Road,Low,6455770,90,34,97,2.2,0.91,168,Not Feasible,1
P0881,Industrial Complex,Water Infra,High,2072200,65,55,23,0.09,0.94,175,Feasible,3
P0882,Highway Expansion,Water Infra,Low,3120473,53,59,32,7.16,0.62,466,Borderline,1
P0883,Highway Expansion,Water Infra,High,3500856,84,83,54,3.44,0.79,177,Not Feasible,3
P0884,Industrial Complex,Water Infra,Medium,3906158,97,42,91,7.87,0.88,274,Feasible,2
P0885,Dam Reinforcement,Water Infra,High,5068472,75,58,85,3.39,0.64,174,Feasible,3
P0886,Urban Flyover,Water Infra,High,2222869,61,32,25,8.19,0.7,460,Feasible,3
P0887,Dam Reinforcement,Bridge,High,3283869,60,87,50,1.31,0.76,138,Feasible,3
